Input,Target
CHLORHEXIDINEUCONATE + ISOPROPYL ALCOHOL,201
OLMEFAN,715
OLMESQN,715
BXTRAM KIDZ,534
ULTRAFENJECTION,796
LACRISON-T,647
DEXTROLETHORPHAN HYDROBROMIDE,57
TORSVMIDE,440
HIZORAN,538
MIFEPRISTONE STOL,425
BEEIPRED EYE DROP,530
VITAMIN E [ALPHA TOCOPHERPL ACETATE],157
CINAREX-DX OPHTHALMIC SUSPENSION,551
PHENOXYMETHYL PLIN V],340
DEXLE,241
GARLIU OIL,195
RPS,755
CEFEPIME HYDROCHLORFDE,270
POTASSIUM CIIC ACID,458
METRONIDAZ+ NYSTATIN + POLYMYXIN B,210
YAMONA,766
IBANDRONIC ACID & ROTATE,268
DEXTROMETHORPHAN + PHENYLEPHRINE,316
BEXITROL F MAXHLER,532
NITN (OINTMENT),365
ALENDRONIC ACID + 3,330
IUON POLYMALTOSE COMPLEX + VITAMIN B COMPLEX + ZINC,49
GAAPENTIN,194
LRCRISON,646
AKISTOCAL M,508
OLE,79
RAMIL,380
METHYLLICYLATE + MENTHOL,338
"VITAMIN C, V& ZINC",158
ACIOLUTION],213
GLYCEROL + LIAR,302
GINKGOABILOBA,204
AMLODIPINE,74
MULTIVITAMIN TH L-LYSINE,265
VIITAMIN B COMPLEX + ZINC,48
RABEPRAZOLEIUM,359
PHENOXYMICILLIN [PENICILLIN V],340
PITAVASTATM,347
MENT OIL + MINT OIL,368
SANCREATIN,421
PROLAN,741
BEXITROL F MAXHAER,532
DEXORIQE,567
PANTOPRAZOTE,447
OMDOCAL PLUS,500
OMEPRAZOHLE (MUPS TABLET),393
FERINTUS,599
CALCIUM LACTATE TE + CALCIUM CARBONATE + VITAMIN C + VITAMIN D3,63
BENZALLIN,42
OSAN,738
RISEDROJATE SODIUM,381
MOXIFLOXHLORIDE (INJECTION),232
EUCALYPTOL SODIUM FLUORIDE,328
RIDE,106
LINEZD,492
IEYE & EAR DROPS,631
BUPIVACAINSE,12
DAKOVIY-C,561
ITRACONAZO,228
OLMESARTAYDROCHLOROTHIAZIDE,325
IRON POMIN B COMPLEX + ZINC,49
ECONONIDE,345
MULULTIMINERAL [A-Z GOLD PREPARATION],167
EBURNIC,581
FIUMET,602
IS + PIPER LONGUM,5
SALICYID,390
XIDOUAC,814
CARPITAB,545
CHLORHEXIDINE HOL,201
URSODEOXYCHOLACID,460
NITROGLYGUAL SPRAY),17
CICLOPIROX OL,104
LULORIDE,264
MOXIFLOXACIN HYDRLORIDE,230
MEN,439
FCRMULA E,609
APRUSIN,505
PROTOLLAN,741
CALCIUMH LACTATE GLUCONATE + CALCIUM CARBONATE + VITAMIN C + VITAMIN D3,63
CAGRELOR,428
LIMOGWL,651
LIGHT LIQUID  PARAFFIN + GLYCERINE,143
LANSOPRAZOLE + AMOXICFLLIN + CLARITHROMYCIN,356
FAVBPIRAVIR,162
SODIUIUM BICARBONATE,32
RISEDRONATE SODIIUM,382
VPRAMID,634
OFLOXACIN (ORAL CTION),388
METHYLPRJDNISOLONE,280
AZITHCIN,490
LIGHT LAFFIN + GLYCERINE,143
AMSXICILLIN + CLAVULANIC ACID,291
FUSIDOC ACID + HYDROCORTISONE,192
RIST],375
PROSFHIN,740
BILBERRY FRUIT [RTILLUS L],317
DEXTHYPROMELLOSE,262
EVO TS  DROPS,593
CIUM,261
DICLOFENAC SODIUM +LIDOCAINE HYDROCHLORIDE,102
POVIDONE IODINE (MOUTHWA & TOPICAL),471
QELENTUS,745
VQMIX DR,810
YCETIN + ESCULIN,152
BUDESONITE DIHYDRATE,59
EUCALYPTOL + MENTHOL + METHYL SALICYLATERIDE,328
BILBERRY RUIT [VACCINIUM MYRTILLUS L],317
OMIX DR,810
DICLOFENAW SODIUM + LIDOCAINE HYDROCHLORIDE,102
MULTIVITAMIN & MULTIMINERAL EPARATION],169
INSULIN GLARGINE],242
CTE,94
BRIMONIDINE CARTRATE (0.2%),257
 TRIPROLIDINE,450
PANCXEATIN,421
FLUOX,350
SAJICYLIC ACID,390
MARBOXYMETHYLCELLULOSE SODIUM,261
BICARBONATE COMPONENT [HCO3S SOLUTION],214
ZOCUL,820
MEGAPOX,659
OCUTREX E DROPS,707
ESCITAPLOPRAM OXALATE,332
LANSOPR+ AMOXICILLIN + CLARITHROMYCIN,356
BILBERRY FRUIT [VACCINIUM,317
ACYCLOVIR (IECTION),472
BUDESONLDE + FORMOTEROL FUMARATE DIHYDRATE,59
ZINU SULFATE MONOHYDRATE,411
DEPRAZOLE,241
CLOBAZM,100
HINGASTAK CHVURNA,454
MULTIRAL [A-Z TEEN GIRLS PREPARATION],171
BROMFENAC UM,318
CHLZRHEXIDINE GLUCONATE [7.1%],200
HYDROXYCHLOROQUIQE SULPHATE,358
OLMEIARTAN MEDOXOMIL,324
MOMETAATE (NASAL SPRAY),278
DDE,132
COTRIMOXAZOLE XAZOLE + TRIMETHOPRIM),113
DAKOVWR-C,561
OSPHATE,125
FOLIC ACID E,488
E DROPS,782
JTRIZIN,518
XALAPROST,812
DILAPRENS,576
FLUOCNE + TRETINOIN,273
CMETHYLCELLULOSE SODIUM,261
FOPFOMYCIN,186
CLO + ASPIRIN,10
PROCATE,351
NEOSOL VS,692
DEXTROMETHNE,320
FLUPEOL + MELITRACEN,275
IPRATROPIUM BROMIDE (NEBULISER SOLUTIMN),223
VRISTOCAL,506
ALUMILIUM HYDROXIDE + MAGNESIUM HYDROXIDE,145
IRON POLYMALTC,49
EMS + PIPER LONGUM,5
ACONE,475
ITLE,228
OLMESARTAN MEDOXLOROTHIAZIDE,325
EVOV FLUID,592
MESMINOSALICYLIC ACID],114
GLUCOSAMINCEREIN,431
BETAMETHASONED+ CALCIPOTRIOL,136
POLYETHY,319
CA[FOLINIC ACID],182
AZMASRL,523
L HYDROCHLORIDE,445
DEXTROMPROLIDINE,320
NEOFZLOXIN IV,691
OSTAT,37
FOLIC ACID + ZINC SULFATE MONOHYATE,488
BROMOCRIFTINE MESYLATE,58
ULIP,461
OFLOXACIN (ORAL & INJRCTION),388
LIGHT LIQUID PARAFFIN + WHITE SOFT PARAFFIN + GLE,143
LUBIPCOSTONE,209
DICLOFELORIDE,102
TRIAMCINOLONE ACETEPARATION),446
CARNITHB,545
NEOFLOXIW IV,691
BECORAL X/DX,525
DAPOXETILE HYDROCHLORIDE,418
AMLINE BESILATE + TELMISARTAN,75
BEXIPRED HYE DROP,530
GENTAMICIN SVLFATE (OPHTHALMIC),198
CLOBETASOL PROPIONATE [SCALPR PREPARATION],124
EUCALYPTOL + MENTHOL + METHYL SALICYLATE + IHYMOL + SODIUM FLUORIDE,328
BMIPRAMINE,120
MENTHOL + CAMPHOR + METHYL SALIM,439
COLISTIMETHATE SODIU,203
CALCIIN D3,68
BECLO),40
CLOBETASONETE,159
ZIE,411
PSPHEDRINE + GUAIPHENASINE + TRIPROLIDINE,450
AMZIKACIN,6
OAOPAN EYE DROPS,718
LAE + ZIDOVUDINE,34
ACYCL(ORAL),473
ONDANSETRON (ORFL SOLUTION),322
LEVOSALBUMOL (ORAL),248
MOXIFLOXACIN HYDROCHLORIDE + DEXAMEOSPHATE,233
DEXAMONE SODIUM PHOSPHATE,125
FERROUS SULFATN + FOLIC ACID + ZINC SULFATE MONOHYDRATE,485
BILUTION],214
VFVIS,808
SEXAMETHASONE SODIUM PHOSPHATE,125
IMOGEL,651
FE PROPIONATE (TOPICAL),430
NUTRIDX,705
DDIUM PHOSPHATE,11
TFCIL,792
TEARON ZYE DROPS,769
VINPOCETIQE,90
AOGRAPHIS PANICULATA,254
IM),113
ACISTOCAL D,507
SODIUM CHLM CHLORIDE + SODIUM ACETATE,91
CLOBETASOL PROPIONATE + NEOMCIN SULPHATE + NYSTATIN,123
TAMSOCHLORIDE + DUTASTERIDE,272
FERRIC ARBOXYMALTOSE,377
YOHIMBINEDROCHLORIDE,151
ENOXAPARIN SODGUM,105
TMETHYLSULPHATE,315
CARBOCID + ZINC SULFATE,487
METGADOX,659
PIPERATAM,423
DESLONATADINE,398
FLET],164
I+ FOLIC ACID + ZINC + VITAMIN B-COMPLEX,489
EMPMIN HYDROCHLORIDE,141
DICLOFENAC SODIUM + METHYL SALICYLAQE + LINSEED OIL + MENTHOL,476
CLIVDAMYCIN + TRETINOIN,99
TEARON FRSEH OPS,770
BETACAROTE + VITAMIN C + VITAMIN E,378
BILVER,535
DIEGEST,116
PARACETAROL,0
LACRISBN -T,647
TETRACYCLINE HRAL),426
BROMFENAZ SODIUM,318
INDELKX SR,630
SAAMOL (RESPIRATOR SOLUTION),416
INDACATEROL + LYCOPYRRONIUM,456
N + POLYMYXIN B SULFATE,299
CEFUROXIME AXETVULANIC ACID,87
INDAPAMDE,373
EAM),103
RISEDRONATE SODALCIUM,382
DEFLAYACORT,119
VITONC,807
NITROGLYCERIV (IV INFUSION),18
RZOLE SODIUM,359
PREONE,219
AMITRIPTYLINE HYDROCH,449
AMDVA,502
MENTHOL + CAMPHOR +L,368
AENIRON,801
CALCIUM CARBONATE + VIMINERAL,67
BENZATHINE PEMICILLIN,42
VYMET,825
PYRIDOXINEINE SUCCINATE,466
LICYLIC ACID,390
MICONAZOLE NITRATE ONE,189
LEVOTHYRODIUM,427
EFLOHINE HYDROCHLORIDE,138
CARBOXYMETHYLCELLULOSE SOZIUM,261
ROXINE SODIUM,427
METOPROC-XL,663
BROMHEXINE HYRDOCOLORIDE,292
AZCIFIX,494
TACRUS (TOPICAL),371
MAGNESIPARAFFIN,134
BETAMETHASONE +S CLOTRIMAZOLE,45
CLINACYN TZGEL,555
LORIDE,41
AMOXICILLIIC ACID,291
PCOENZYME Q10 [UBIDECARENONE],80
CICLOPIRO OLAMINE (CREAM),103
PHENOXHYL PENICILLIN [PENICILLIN V],340
MENTHOL + CAMLATE + OLEORESIN CAPSICUM,439
AQUA,564
PREMACE,736
AMINO ACID + D-SORBITOL + ELECTBOLYTES,470
TCYCLOVIR (INJECTION),472
METOPRRL-XL,663
MIQRASOL XR,664
MAGNESIUM HYDROXIDE + LIQUID PZRAFFIN,134
CARBONYL IRON + FOE,487
OTODOLAC,337
DEXTROMETHOR HYDROBROMIDE,57
TINE,247
CLOBETASONE BUTYATE,159
BASONE + CLOTRIMAZOLE,45
MULTIV PREPARATION],170
TASTERIDE,272
SAW DPALMETTO ,457
FLUPENTIXOL,275
AMOXICILLIN + CLKAVULANIC ACID,291
OCTREX EYE & EAR DROPS,707
EANCREATIN,421
LORIDE,271
FUSIDICISONE,192
ION],169
AZITHN,521
PLINACYN T GEL,555
FTICASONE FUROATE,33
ADAPALEKE + BENZOYL PEROXIDE,184
NITROINFUSION),18
GLUNE + CHONDROITIN,112
SALBUTAIOL (RESPIRATOR SOLUTION),416
MAGALIRATE + SIMETHICONE,266
SALBUTON),416
AZIDHROCIN,521
VITAMIN D3 + VITAMIN K1 + VITAMIN KX2,130
PROCE,737
LIGHGLYCERINE,143
PROBIOTIC COMBINATION [4 BILLIONQ],349
LAZIDE,14
HLORAMPHENICOL,410
VSLICARBAZEPINE ACETATE,155
ULTKAFEN PLUS,797
REE,746
BETAMETHAWONE + NEOMYCIN SULPHATE (TOPICAL),46
CALCIUM FOLINATE [FOLINIC ASID],182
FLATL DS,605
TAMSULOSIN HYDROCHLORIDE + IDE,272
ONDANSON,321
OLMEPLUS,716
XALANOL EYE HROPS,811
ETHINYLESTRADIOL + DROSPIRENONE [FOR HORMONE REPLACEMENTHERAPY],386
ARTEMETHER + LUMEFANTRINE,263
PANAX GIG,205
MOXIFLOXACIN HYDROCHLORIDE PHOSPHATE,233
ER HORMONE REPLACEMENT THERAPY],386
POTSIUM CITRATE + CITRIC ACID,458
FERROUS SULFAC SULFATE MONOHYDRATE,485
NAPROXE,407
BIPERACILLIN + TAZOBACTAM,423
BENZOCAIKNE,326
GLIBENCLAMBIDE,127
AAVULANIC ACID,291
DPXORIDE,567
AMLODIPINE BESILATE + OLXOMIL,74
LLATAMEAL DS,605
COXWB,558
TRIHEXYPHENIWDYL HYDROCHLORIDE,445
INSULI HUMAN,20
FLUTICATE (TOPICAL),430
MOICAM,666
ZOLEDRONIC ACID [FOR OSTEOZOROSIS],56
MOLMVIT,669
ODREL MLUS,711
PIPERACULLIN + TAZOBACTAM,423
GRAPE EXTRACT [MAHADRAKKHARISTJ],375
NIGATIVA [BLACK SEED OIL],310
BETAMCETHASONE DIPROPIONATE,44
SPAOFLOXACIN,389
LOLCHICINE,107
EUCALYPTOL + MENTHOL + METHYL SDIUM FLUORIDE,328
ZYBEXSSR,824
CALCIU MULTIMINERAL,67
JENZATHINE PENICILLIN,42
AMIN K1 + VITAMIN K2,130
MOMETASONE FURO SPRAY),278
MOXIFLOXACIN HYDROCHLCORIDE (INJECTION),232
CLCTION],98
TERBINAFNE HYDROCHLORIDE,479
MENTHOL + CAMPHOR + METHYL SALICYLAOLEORESIN CAPSICUM,439
DDESON INJ,709
CICLOPIRO),104
NOLIGEL,809
NUTRIDOX,705
LACTUE,329
FOLIC ACID + ZINC SUSFATE MONOHYDRATE,488
PROCYCLIDINE HYDHLORIDE,343
CALCIUM LACTATE GLUCONATE + CALCIUM CARBONATE +TAMIN-C,64
MOGEL,651
ALENDRONIC ACITAMIN D3,330
BUTAMIRATRATE,285
VOSPAN,654
BISOPROTHIAZIDE,54
DEXTROMETHORPHAN + PSEUDOEPHEDRINE PROLIDINE,320
TOBBASOL,780
URIMONIDINE TARTRATE (0.2%),257
DIPHENHYDRAMINE HGDROCHLORIDE + ZINC ACETATE,435
PANTOPRAZOLM SODIUM SESQUIHYDRATE,447
N ACID,295
GLIMEPIRIDERMIN,396
XOHIMBINE HYDROCHLORIDE,151
VER ISOFLAVONES,366
COMPLEX + ZINC,48
ZINC SULFATJ MONOHYDRATE,411
TYCOL,792
ACIFNIX,494
LIOGEL,651
DEXAMOSPHATE,125
OLMESARTAN MEDOXOMIL +DE,325
FOUTICASONE FUROATE,33
MULTIVITAMIN & MULTN],255
COLECAROL [VITAMIN D3],115
GEMIFLN,160
RANITIBINE HYDROCHLORIDE,303
SYMBION HZA,763
BEAXTRAM GOLD,533
ECOEAZOLE NITRATE + TRIAMCINOLONE ACETONIDE,345
LOSARDE,14
GEMIFLOXACZN,160
VERON,801
BILBERLUS L],317
SLORIDE,24
ODYCIN EROPS,713
"VITAMIN C, VITAMIN E, LUTEIN, COPPER & ZINC",158
SYMBZON HFA,763
SACUBITRIL +RTAN,462
XETRBL,813
PEDEAMI,731
FLPHIN DS,498
BROMH HYRDOCHLORIDE,292
NOSCPB,703
AMDOCVAL,499
COENZYME Q10 ,80
IRUCROSE INJECTION [ELEMENTAL IRON],118
AMPLODIPINE BESILATE + VALSARTAN,76
TAMSULOSIN HYDRIDE,272
CARBONYL IRON + + VITAMIN C + ZINC,486
ULIPRISTA,461
EMPAGLIORIDE,141
MICRONISED D+ HESPERIDIN,212
INSULICN HUMAN [LONG-ACTING],21
INSULIN HUOPHANE INSULIN HUMAN,20
ROSTIL PLS,753
NUTRIDIX,705
FLUOHYDROCHLORIDE,350
ASCOBWX,516
MOXIFLOXACIN HYDROCHLORIDE (LMIC),231
AERONID OFA,496
MOXIFLOXACIN HYDROCHLORIBE + DEXAMETHASONE PHOSPHATE,233
CLINDAMYCIN [ORPAL/INJECTION],98
ABACAVIR+ ZIDOVUDINE,433
VITAMIN B COMPLEX + ZNC,48
LRVERIC,652
TAMSULOSIN  HYDROCSLORIDE,271
ULTRAFENPLUS,797
NEOFLOXIN GRANULION,690
VOX B,558
SALBOR SOLUTION),416
FTABLET],164
ISPAGQULA HUSK,227
SAGBUTAMOL (INHALER),415
MULIN WITH L-LYSINE,265
NITAZOSANIDE,493
ASTBXANTHIN,483
RABEPRAZOLE + AMLIN + CLARITHROMYCIN,357
AMOXICILLIU TRIHYDRATE,290
CALCIUM CARBONATE + VITAMIN-C,64
OFLOTACIN (ORAL & INJECTION),388
NITROGLYCIN (SUBLINGUAL SPRAY),17
FERROUS SOLFATE + FOLIC ACID + ZINC SULFATE MONOHYDRATE,485
LEETIRACETAM,224
IRON POLYMALTOSE COMPLEX +B-COMPLEX,489
IL + HYDROCHLOROTHIAZIDE,325
PRUCALONRIDE SUCCINATE,71
CESOE,548
MICONAZOLEDROCORTISONE,189
NEOFLOXIN GRANULES FNSION,690
POVIDONE IODINE (MVOUTHWASH & TOPICAL),471
IPRATROPIUM BRO,222
LINROCHLORIDE,250
BEXIPRED EYE DRP,530
MULTIVITAMEPARATION],169
CARBONYL IRON + F,486
TOBASOOL,780
MULTIVITAMIN & MULTI PREPARATION],170
CAL),471
ARISTO M,508
NKOFLOXIN IV,691
MOXIDROCHLORIDE,230
LINAGLIPTINORMIN HYDROCHLORIDE,250
DEXTROMETHORPHAN + KSEUDOEPHEDRINE + TRIPROLIDINE,320
BLOPIDOGREL BISULPHATE,9
OFLOXAAL & INJECTION),388
CM),113
SIZOTIFEN,284
BEXTAM KIDZ,534
ALMINE BISMESYLATE + RAUBASINE,448
PRN,306
AES,470
MICRONISED DIOSN,212
ETHINYLESTRADIOL + DROSORMONE REPLACEMENT THERAPY],386
IROMIN B-COMPLEX,489
Î²-SITROL,43
AMLODIPINE BESILAT + OLMESARTAN MEDOXOMIL,74
ARTE,263
MULTIVIMINERAL [A-Z TEEN BOYS PREPARATION],170
NRPA ONE,681
SODIUM POLHYSTYRENE SULFONATE,313
DIIN,570
LIGHT PARAFFIN + WHITE PAFFIN (CREAM),142
OLE NITRATE (TOPICAL),188
ACYCLLVIR (INJECTION),472
BETAHISTINE E,277
HEMOFIL FZ,625
ALPATIN,497
LENDRONIC ACID + VITAMIN D3,330
OLOPAN EYE DROKPS,718
CLOBETASOL PROPIONATE +ZNEOMYCIN SULPHATE + NYSTATIN,123
CHLORPHENIRAMIATE,25
FRJNXIT,612
EMBLR LONGUM,5
LINBZOLID,492
RMD CLOVER ISOFLAVONES,366
PBRINASE,733
UHYPROSOL,627
SODIUM CHLOR,91
ETHINYLEENT THERAPY],386
PS GUAIPHENASINE + TRIPROLIDINE,450
VINPOCJTINE,90
CEL,464
PROCYCLIDINE HY,343
HALOBETASOL PROPSIONATE,211
CLOBETASOL PROPIONATE [SCQLP PREPARATION],124
MISTOL,425
CACYN,554
NEOSO,692
NEIN,688
NEOCEPTIN,686
LAMIVUDINE + ZIDOVUMINE,34
ZINC  AVOBENZONE,417
SOFLAVONES,366
CN + ORNIDAZOLE + TERBINAFINE,109
FYCIN,186
DEXLIDINE,320
CEFTIBUTEN DDRATE,88
HEMOFFX,624
MICONAZORAL GEL),197
INDACL + GLYCOPYRRONIUM,456
ONE,192
LEVGESTREL,314
HLORIDE,15
DNDELIX SR,630
T X,512
MICONAZOLE NITRKTE + HYDROCORTISONE,189
CALCIUMN D3,193
CALCIUINATE [FOLINIC ACID],182
ULIPRISTAL ACETAUE [FOR UTERINE FIBROIDS],461
EODIUM,105
IRON POLYMALTOSE COMPLEX + VIB COMPLEX + ZINC,49
ESOMEPRIHYDRATE,307
EFLOYDROCHLORIDE,138
TABLET),308
GUVENT,579
RRMIPRIL,380
CALCIUM CARBONATE [CORAL SOURCE] D3,68
NEACITRACIN ZINC + POLYMYXIN B SULFATE,299
AMLODIVINE BESILATE + TELMISARTAN,75
CMALORATE KIT,542
COVMOTRIN,557
MENTHOL + CAMPHOR + MEUM,439
ABTACID MAX,503
BACAVIR + LAMIVUDINE + ZIDOVUDINE,433
A INDICA],133
NITROSOHL,700
ALUMINIUM HYDDROXIDE,145
NEOSCOL DS,692
FLUTICASONE PROP (TOPICAL),430
INSULIN HUMAN -ACTING],21
EMBLICA OFFR LONGUM,5
BUNAMIRATE CITRATE,285
XIDOLZC,814
IBANDRON ACID,267
"VITAMIN B1, B6 & 12",304
BROMFENSODIUM,318
NAPROXEN SZDIUM,407
FPSFOMYCIN,186
TAMSULOSIN HYDROCHLORIDE + DUTASEERIDE,272
FLUTI),430
FERRIC CARBOXYSE,377
METAMETHASONE + CLOTRIMAZOLE,45
IC ACID [FOR OSTEOPOROSIS],56
POLYETHYLENE GLYCOL + PROPYLENE GLYCEL,319
OMASTIN I,720
MESALAZINE [5-AMINOSALICYLIC ACIM],114
LUBEX,607
AMLODIPINE BESIE,72
BETAMETHASONE +,353
ETE,332
NMAPA,675
MEDATRIM,660
SALBUTAMOL (RESPIRATOR SOLUTIJN),416
TYCJAV,793
GENOPHTHALMIC),198
OXYMETAZOLI),482
THOXAZOLE + TRIMETHOPRIM),113
MAGNESIUM HYDROXIIN,134
LURASIYDONE HYDROCHLORIDE,264
MULTIVITAMIN WDTH L-LYSINE,265
HARTMAN'S SOLUTION,238
OLANZAQINE,121
RETAPAMULI,374
DIPHENHYE,435
FLUCLOXPCILLIN SODIUM,346
CHLOGLUCONATE [7.1%],200
PIPERYCILLIN + TAZOBACTAM,423
NEOEAR DROPS,689
BEXITROLNF MAXHALER,532
MID,131
BICARBONATEXCOMPONENT [HCO3 HEMODIALYSIS SOLUTION],214
CITICOLINE SODIUM,97
MOTO,668
SUBALON EYE DROPS,755
AERONFA,496
IVABRIDINE,229
FLUTICASOONATE (TOPICAL),430
INSULIK HUMAN [RDNA] + ISOPHANE INSULIN HUMAN,20
DIPIDE + ZINC ACETATE,435
PARACETAMOL + AFFEINE,1
ORIDE,106
EUALYPTOL + MENTHOL + METHYL SALICYLATE + THYMOL + SODIUM FLUORIDE,328
ZOSFIN,822
BAWARISTA,144
DICC SODIUM + METHYL SALICYLATE + LINSEED OIL + MENTHOL,476
KVIBOSE,803
CLOBETASOL PROPIONATE [SCREPARATION],124
NITRIN,459
BTION],214
DEVOFLOXACIN (ORAL),443
RISEDATE SODIUM,381
BETAMETHASONE RIOL,136
L-ORNITHWNE L-ASPARTATE,216
L + ELECTROLYTES,470
CIPROFLOXACINLMIC),95
CLATHROMYCIN,369
IN (OINTMENT),365
ADAPALE,183
LACTAMEL,648
SOINATE + POTASSIUM BICARBONATE,32
SITAGLIOCHLORIDE,401
BETAMETHASONE NIPROPIONATE,44
FLUOXETINE HYDRTCHLORIDE,350
AFIL CITRATE,469
RABEPRAZOLE + AMOX,357
DEXTROMETHPHRINE + TRIPROLIDINE,316
AR DROPS,707
NIGHTZS,698
DEXAMETHASONE T CHLORAMPHENICOL,126
MISOOSTOL,226
CHLORPHENIRAMINE MALEGTE,25
ALMITRI + RAUBASINE,448
DCECLOFENAC,174
SYMBION MAXHLER,764
FLUOXETINE HYDROCHLORID,350
BNTACID MAX,503
L-ORNTE,216
MULTIVITAMIN & MULTIMINERALN],170
PANTOPRAZOLE SODIIHYDRATE,447
INSULINZGLARGINE [RDNA],242
HYDROXYCHTE,358
CLARITHROUYCIN,369
LAMIVUDINE [FOR CHRONIC HEPATITXS B],215
TENOFOVIR DISOPROXILFUMARATE,354
VALBUTAMOL + IPRATROPIUM (INHALER),412
OMASTMN IV,720
MULTIVITAMINPARATION],169
MULTIVRTAMIN & MULTIMINERAL [A-Z SILVER PREPARATION],169
INDACATEROL + GLTCOPYRRONIUM,456
OLMESARTAN MEDOXOMIL + HYDROROTHIAZIDE,325
NITROGLYCERIN (IVSION),18
EPERISONE HIDROCHLORIDE,294
SALMETEROL +ROPIONATE,429
BETAMETHE + CALCIPOTRIOL,136
BILBERRY FRUIT [VACCINIUMOMYRTILLUS L],317
NDAZOLE,2
LIDOXAINE HYDROCHLORIDE (SPRAY),249
SODIUM CHLORID),405
BROZHEXINE HYRDOCHLORIDE,292
SODIUM CHSE,225
DEXTROMETHORPHAN + PHENYLEPHRI + TRIPROLIDINE,316
NABAAL HAEMATINIC,31
AZNATE,177
ALDNDRONIC ACID + VITAMIN D3,330
OLWESARTAN MEDOXOMIL + HYDROCHLOROTHIAZIDE,325
LUCOL,656
MOMVI,669
HYDROXYCHLOROQUDNE SULPHATE,358
CALCIUM ,69
ESOMEPRAZOL MAGNESIUM TRIHYDRATE,307
SALMETEROL + F,429
AMINO ACID + D-SORBITOL + EES,470
GLUCOSAMINE PHATE + DIACEREIN,431
TAPEDE,339
BURNFIL,540
ACYCLAL),474
INSULIN GLARGIJE [RDNA],242
TERBINAFINE HYDROCFHLORIDE,479
TOFACIDINIB,434
ALER),412
CANDORAL ORAL G,543
MOXIFLOXACIN HYDROCHLWRIDE (OPHTHALMIC),231
DICLOFENAC SODIUM LINSEED OIL + MENTHOL,476
FUSI + HYDROCORTISONE,192
VILDTFORMIN HYDROCHLORIDE,467
DEXTRAN + HYPROMEDLOSE,262
IVGBRADINE,229
XALAPROST EYE VROPS,812
CALCIUTAMIN-C,64
FLUTICASONE PR),178
KETOCLET),236
DEXTROMETHORPHAN + PHENYLEPHINE + TRIPROLIDINE,316
DEXIBUPR,480
GYLOMETAZOLINE,23
TRIHEXYDE,445
ERYTHROMYCIN (ORAL,153
ABACAVIR + LAMIVUDINE + ZID,433
ACE,736
INSULIN HUMAN [RDNA] + ISOPHANE ZNSULIN HUMAN,20
ARIPCPRAZOLE,30
ETHINYLESTRADIOL + DR],386
CLOBETASOL PROPIONATE + OFLOXACIN + ORNIDAZOLE + TERBINAINE,109
POSCAB,703
IPRATROPIUMER SOLUTION),223
PSEUDOEPHE,450
ANTACIDFMAX,503
BENMATHINE PENICILLIN,42
RIFAXIKIN,137
ACIDIC COMPOWENT [HCO3 HEMODIALYSIS SOLUTION],213
OCUTREX EY DROPS,707
IVHRA,639
VITA1 + VITAMIN K2,130
FLAXSEED OSSIMUM],196
 + OLEORESIN CAPSICUM,439
CLOBETASOL PROPIONATE [TOPIPREPARATION],122
FLUOCNONE + TRETINOIN,273
CHLOYHEXIDINE GLUCONATE [7.1%],200
RUBALON EYE ,755
ONSAT INJECTIHON,723
PDUDEX,742
GENTOSEP,619
CINNARIZINE + DCIMENHYDRINATE,94
FLAISSIMUM],196
MICR DIOSMIN + HESPERIDIN,212
CEFTIBUTEN DDHYDRATE,88
AZITROCIN,521
DEXTROMIPROLIDINE,316
RABEPRAZOTHROMYCIN,357
CINAREX-D OPHTHALON,551
UROFLOVPLUS,799
SODIUM CHLORIDE + DEXBROSE,225
ROGTIL,752
NEOFLXIN,688
DIABASIC SODIUM PHOSPHATE + MONOBASIC SODIUMZPHOSPHATE,11
CINNARIZINE + DINATE,94
CALCIUM] + VITAMIN D3,68
CLARITHROMVCIN,369
CLINRAMYCIN + TRETINOIN,99
COENZBME Q10 [UBIDECARENONE],80
MULEPARATION],170
GGO BILOBA,204
TAMSULOSIN  HYDROCORIDE,271
JOGARAJ GUGGSLU,234
FLACEN,275
CLNATE [TOPICAL PREPARATION],122
L-ORNITHINE L-XASPARTATE,216
S+ POTASSIUM BICARBONATE,32
IAZINE,60
XYNOFEN GR,816
INSULIN HUMAN [RDNA] + ISOPHANE INSULIN,20
HLUCOVIS EYE DROPS,623
DOXROCHLORIDE,132
ESICARBAZEPINE ACETATE,155
HOMPERIDONE MALEATE,289
BIMATOPROST T TIMOLOL,51
CALCIAMIN-C,64
FLNMYST F,606
MUL[A-Z SILVER PREPARATION],169
ALUMINIUM HYDROXIDE + MAGNESIUM HYDROXIDE CONE,146
IBANDROIC ACID,267
PYRIDOXINE HYDROCHLORIDE + DOXYLUCCINATE,466
VITAMIN B COMPLEX + ZIMC,48
JARZDIAN,641
BRIMONATE + TIMOLOL MALEATE,258
LINAGLIPTINLORIDE,250
LEVOFLOXACIH (ORAL),443
MULTIVITAMIN & ARATION],170
BUTAMIRATE CITATE,285
AZELASTINE HYDROCHLORIDE X FLUTICASONE PROPIONATE,177
ETHINYLEERAPY],386
SODIUVALPROATE,463
VLOVIR,376
BETA VITAMIN E,378
DIIZEPAM,397
KETROLAC TROMETHAMINE,438
RRISTOFERON,509
YCIN SULFATE + BACITRACIN ZINC + POLYMYXIN B SULFATE,299
